graph_index,num_nodes,num_edges,avg_node_degree,node_types_frequency,nodes_types,edge_types_frequency,edges_types,graph_label
0,12,26,2.1666666666666665,"{'atom_type_0': 7, 'atom_type_1': 3, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 1, '6': 0, '7': 0, '8': 0, '9': 1, '10': 2, '11': 2}","{'bond_type_0': 0, 'bond_type_1': 16, 'bond_type_2': 10}","{'[0, 1]': 2, '[0, 8]': 1, '[1, 0]': 2, '[1, 2]': 1, '[2, 1]': 1, '[2, 3]': 1, '[2, 6]': 1, '[3, 2]': 1, '[3, 4]': 2, '[4, 3]': 2, '[4, 5]': 1, '[5, 4]': 1, '[5, 6]': 2, '[6, 2]': 1, '[6, 5]': 2, '[6, 7]': 1, '[7, 6]': 1, '[7, 8]': 2, '[7, 9]': 1, '[8, 0]': 1, '[8, 7]': 2, '[9, 7]': 1, '[9, 10]': 2, '[9, 11]': 1, '[10, 9]': 2, '[11, 9]': 1}",1
1,22,50,2.272727272727273,"{'atom_type_0': 16, 'atom_type_1': 2, 'atom_type_2': 4}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 2, '18': 2, '19': 1, '20': 2, '21': 2}","{'bond_type_0': 34, 'bond_type_1': 12, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 12]': 1, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 1, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 1, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 19]': 1, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 15]': 0, '[11, 6]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 3]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[14, 16]': 1, '[15, 10]': 0, '[15, 14]': 0, '[16, 14]': 1, '[16, 17]': 2, '[16, 18]': 1, '[17, 16]': 2, '[18, 16]': 1, '[19, 8]': 1, '[19, 20]': 2, '[19, 21]': 1, '[20, 19]': 2, '[21, 19]': 1}",1
2,15,34,2.2666666666666666,"{'atom_type_0': 12, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 2, '12': 2, '13': 0, '14': 0}","{'bond_type_0': 22, 'bond_type_1': 10, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 14]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 8]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 13]': 1, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[7, 10]': 1, '[8, 3]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 0]': 0, '[9, 8]': 0, '[10, 7]': 1, '[10, 11]': 2, '[10, 12]': 1, '[11, 10]': 2, '[12, 10]': 1, '[13, 4]': 1, '[13, 14]': 1, '[14, 2]': 1, '[14, 13]': 1}",1
3,12,26,2.1666666666666665,"{'atom_type_0': 7, 'atom_type_1': 3, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 1, '7': 1, '8': 2, '9': 2, '10': 0, '11': 0}","{'bond_type_0': 0, 'bond_type_1': 16, 'bond_type_2': 10}","{'[0, 1]': 2, '[0, 11]': 1, '[1, 0]': 2, '[1, 2]': 1, '[2, 1]': 1, '[2, 3]': 1, '[2, 6]': 1, '[3, 2]': 1, '[3, 4]': 2, '[3, 10]': 1, '[4, 3]': 2, '[4, 5]': 1, '[5, 4]': 1, '[5, 6]': 2, '[5, 7]': 1, '[6, 2]': 1, '[6, 5]': 2, '[7, 5]': 1, '[7, 8]': 2, '[7, 9]': 1, '[8, 7]': 2, '[9, 7]': 1, '[10, 3]': 1, '[10, 11]': 2, '[11, 0]': 1, '[11, 10]': 2}",0
4,14,28,2.0,"{'atom_type_0': 7, 'atom_type_1': 2, 'atom_type_2': 5}","{'0': 0, '1': 2, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 2, '11': 1, '12': 2, '13': 2}","{'bond_type_0': 12, 'bond_type_1': 12, 'bond_type_2': 4}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 1, '[2, 1]': 1, '[2, 3]': 0, '[2, 7]': 0, '[3, 2]': 0, '[3, 4]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[5, 11]': 1, '[6, 5]': 0, '[6, 7]': 0, '[7, 2]': 0, '[7, 6]': 0, '[7, 8]': 1, '[8, 7]': 1, '[8, 9]': 2, '[8, 10]': 1, '[9, 8]': 2, '[10, 8]': 1, '[11, 5]': 1, '[11, 12]': 2, '[11, 13]': 1, '[12, 11]': 2, '[13, 11]': 1}",0
5,12,26,2.1666666666666665,"{'atom_type_0': 8, 'atom_type_1': 2, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 1, '10': 0, '11': 0}","{'bond_type_0': 12, 'bond_type_1': 12, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 11]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 3]': 1, '[9, 10]': 1, '[10, 9]': 1, '[10, 11]': 1, '[11, 2]': 1, '[11, 10]': 1}",0
6,20,46,2.3,"{'atom_type_0': 16, 'atom_type_1': 1, 'atom_type_2': 3}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 1, '18': 2, '19': 2}","{'bond_type_0': 38, 'bond_type_1': 6, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 7]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 17]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[6, 15]': 0, '[7, 2]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 13]': 0, '[9, 0]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 16]': 1, '[13, 8]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 6]': 0, '[15, 14]': 0, '[16, 12]': 1, '[17, 3]': 1, '[17, 18]': 2, '[17, 19]': 1, '[18, 17]': 2, '[19, 17]': 1}",1
7,20,44,2.2,"{'atom_type_0': 15, 'atom_type_1': 2, 'atom_type_2': 3}","{'0': 0, '1': 0, '2': 2, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1, '18': 2, '19': 2}","{'bond_type_0': 24, 'bond_type_1': 16, 'bond_type_2': 4}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 2, '[1, 3]': 1, '[2, 1]': 2, '[3, 1]': 1, '[3, 4]': 1, '[4, 3]': 1, '[4, 5]': 0, '[4, 9]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[7, 12]': 1, '[8, 7]': 0, '[8, 9]': 0, '[8, 10]': 1, '[9, 4]': 0, '[9, 8]': 0, '[10, 8]': 1, '[10, 11]': 1, '[11, 10]': 1, '[11, 12]': 0, '[11, 16]': 0, '[12, 7]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 14]': 0, '[15, 16]': 0, '[15, 17]': 1, '[16, 11]': 0, '[16, 15]': 0, '[17, 15]': 1, '[17, 18]': 2, '[17, 19]': 1, '[18, 17]': 2, '[19, 17]': 1}",1
8,20,46,2.3,"{'atom_type_0': 16, 'atom_type_1': 1, 'atom_type_2': 3}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 2, '18': 2, '19': 2}","{'bond_type_0': 38, 'bond_type_1': 6, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 7]': 0, '[3, 2]': 0, '[3, 4]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[5, 19]': 1, '[6, 5]': 0, '[6, 7]': 0, '[6, 15]': 0, '[7, 2]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 13]': 0, '[9, 0]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 16]': 1, '[13, 8]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 6]': 0, '[15, 14]': 0, '[16, 12]': 1, '[16, 17]': 2, '[16, 18]': 1, '[17, 16]': 2, '[18, 16]': 1, '[19, 5]': 1}",1
9,14,28,2.0,"{'atom_type_0': 6, 'atom_type_1': 3, 'atom_type_2': 4, 'atom_type_3': 0, 'atom_type_4': 0, 'atom_type_5': 0, 'atom_type_6': 1}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 1, '10': 6, '11': 1, '12': 2, '13': 2}","{'bond_type_0': 12, 'bond_type_1': 12, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[1, 11]': 1, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 10]': 1, '[4, 3]': 0, '[4, 5]': 0, '[4, 9]': 1, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 4]': 1, '[10, 3]': 1, '[11, 1]': 1, '[11, 12]': 2, '[11, 13]': 1, '[12, 11]': 2, '[13, 11]': 1}",0
